sentiment,review
0,"I recently had my daughter's birthday at Run Plus Fun and I have to say that I've had better service at other locations when paying that much money for a birthday party.  I was hoping to have one of the employees at least be an assistance in helping with the food and cutting of cake. (they shouldn't have to be asked, they should be there to help without request like that of other places) The throne for the birthday girl was not in the room or ever offered which should have been. I had to ask to have the food put out. The party room temperature was extremely warm for the amount of people we invited and once again had to ask for help. And although I knew this rule, I really don't like the fact that the kids cannot play after they are done eating.  kids cannot be kept cooped up in the small party room just waiting to go home. In all we had very little attention from the employees. The female employees lacked any personality. I all,  I've had better attention and cooperation from other birthday locations than this one. This place is just fine for an hour play but that's it."
0,"They got Roaches! Me and two other friends seen two baby roaches crawling on the glass display case. If I could, I would give this place -10 stars for being dirty. If you want some decent pizza with the possibility of a roach on the side, Gus's pizza is the place for you. I hope they read this so they can clean up their act. Disgusting."
1,We rolled in tonight at 9pm and everyone in this place greeted me!  They asked if I'd ever been to a Firehouse Subs - I replied NO - and they told me about how they do things differently.  I wasn't in the mood for a sub (I came with friends) so I got a bowl of CHILI.  It was fairly standard but good.  They added some cheese and chopped up some onions and put that in too.  I was very pleased.  And once again let me say - the people were very friendly and welcoming.  I'll be coming back soon.
0,"Came here because I was curious as to who was now occupying the old Slidin Thru space...  Very friendly people, offered a sample of the meats so I could decide.  The pork was very good, reminded me of what you would get at an actual Luau in Hawaii..  The steak? Not so much....   I chewed, chewed, chewed until the piece of steak lost its flavor and I felt like I was chewing on meat bubblegum. I choked it down and decided steak wasn't my thing.  Chicken was good but not any different than what you would get at Zaba's or Chipotle...  Ordered a Pork and Chicken bowl, the black beans that came with it tasted like they literally came straight out of a can, no seasoning detected.  The portion also seemed small for the price... I get about twice the amount at Zaba's. enough for dinner and leftovers for lunch, even though the bulk of It is cheap rice and beans, I feel like I am getting a good deal when I can have two meals for the price.  Probably wont come back, sorry"
0,So I will start off by saying about a month ago I was yelling to the TOP of my lungs everyone needs to visit the Fremont Casino its my favorite place!!!  They have the best tables!\n\nSadly I had a horrible experience and it has permanently changed my views of this place. I was playing at the Craps table ($3) and this very loud group next to me was playing and the man next to me on multiple occasion kept thinking my money was his. So in my mind I am like why aren't these people doing anything to prevent this? So it got so bad that they actually had to go look at the tape.\n\nSo here is my real issue. The man argued to the staff that it was his money on the table and I was nicely sad that it was mine but the game in no way could be stop while the conflict got resolved. So Money that no one could confirm sat on the table when all I wanted to was grab my money and leave. The Manager on duty Monica  was so rude to me she did look at the tape (for 10-15 mins) and saw that it was my money and when I asked for my $3 back YES $3 that they couldn't confirm that was mine she tried to tell me I was trying to get over and scamming them. I WAS LIKE ARE YOU SERIOUS you guys make $3 in 0.02 seconds and you can't afford to give me $3???? She told me I had to make an appointment to speak to someone higher than her. the customer service was TERRRRIBLE and it did not stop there.\n\nThe next morning I called and asked to speak to the Operations Manager and he got on the phone and told me he would take a look at it and give me a call back and pretty much said what do you want and we cant give you anything more than $3. I NEVER HEARD FROM THIS MAN EVER AGAIN! \n\nand I made it clear if you would've given me the stinking $3 I would've given it right back to you at the craps table. \n\n\nJust be careful at this place... I am so sad that this happened to me at my FAVORITE place.
0,"I spoke to Natalie on Monday 8/25 and she apologized for the service I had received and offered to refund by Wednesday. I gave her my information that day.   I called on Wednesday and Natalie was not there, she happen to be off work Tuesday and Wednesday.  I then spoke to Gina who assured me Natalie will call me back when she returns to work on Thursday near 4pm.  Mind you when calling here the admin/hostess/receptionist find it necessary to know who I am and what my call is concerning.  I'm thinking do they get a lot of un happy customers to have to screen the calls as hard as they do? I just called now and it is Friday 8/29. I called and Brianna answered the phone, and when I told her my name she paused as if she already knew who I was and why I was calling. She then said in a SNARKY tone, May I ask what this is in reference to. I said it was a complaint. She then went off line and came back on line. She had then said she spoke to another manager and he said to talk with Natalie.  I am thinking why would a manager have a admin/hostess/receptionist relay a message and why would he not speak to me.  I insisted that Brianna give me the name of the GM and also let the current manager know I was on the phone.  \n\nFinally after arguing with snarky Brianna she got the manager on the phone. I spoke to Paul and he told me he is aware of the e mails about this issue and to wait for Natalie.  I let him know I waited for her call yesterday and there was no call. I mentioned that I was VERY DISAPPOINTED in this place and the service all around. I basically vented and now have added the snarky admin/hostess/receptionist to the list of complaints.  he assures me that Natalie will call me today.  Let's see."
0,Worst buffet so far! Overpriced and their breakfast was limited to seven different styles of eggs! The waitress with an attitude fishin for a tip? Huh? Blame your no tip on the overpriced bland food!
0,I'm so done with this place. I ordered for the last time the other day as they are scammers. We order to-go food from here because they actually put out a rather tasty product but the process is just way too painful. Just placing the order is an incredible task as the people answering the phone speak next to know English.  Don't dare tag me a racist as I'm far from that but it's reality that you need to convey an order and have it made correctly - that's basic. To exacerbate this their on-line menu is conveniently numbered but it's THE WRONG ONE further adding to the confusion. What a hot mess. The last few orders we have gotten home and the order is wrong...errrrr! The topper is the last two times they have tried to scam when we had a coupon and that is where the line gets drawn when you lack integrity with your customers.\n\nhttp://www.youtube.com/watch?v=AL4Amj0F2Pk&feature=g-upl&context=G2f125afAUAAAAAAALAA
0,Just called for reservations was told to call back they were busy. Wow really that's how you treat customers? Thank goodness there are soo many other great options -restaurants who understand what good customer service is
0,"Terrible!!! This used to be the best car wash spot on the west side, no longer. Brought my brand new Audi here and what I got back was a greasy mess with a missing windshield wiper. Horrible experience, I will never use this place ever again."
0,"Don't get in these cabs if you value your life. The most wreckless drivers in Vegas. I have been cut off multiple times everyday by these guys. They just want to make a quick dollar. I don't think they care about the laws or any one. The one time I was in their cab, I was afraid for my life. The drive was very rude."
1,Tried the black bean burger.. it was yumm..dont let the whole garlic cloves throw you off track. It added great taste.. will also mention..the servers are great warm and very welcoming.. talk about breakfast like a king..
0,"VISIT\nTuesday dinner service, main dining room\n\nFOOD\nOn par with other NNY locations. Not great, but not bad. Although, my 7yo made a point to compliment the server on how much she liked the pretzel rolls on her sliders.\n\nSERVICE\nFriendly, but PAINFULLY slow. We sat for about 15 minutes before anybody greeted us or took our drink order. I felt abandoned many times. I had to sit there and stare at my salad (once I finally got it) for a while before they brought silverware. It took about 20 minutes between the time I said we were done and the time I got the bill, after reminding her once in-between. What should have been a 1 hour visit, easily turned into 2.\n\nDECOR\nIn a word: depressing. I felt like I was sitting in my great grandmother's barn. It's just one, big, drab, loud, bright, dingy room. There were a couple pictures of New York on the wall, and some TVs. Otherwise, we might as well have been sitting in an elementary school cafeteria.\n\nI will probably never go again -- not with the number of other great choices in the area."
1,Their food is authentico italiano. I loved the arancini to start and my tortellini was homemade and unbelievably excellent. I will come back during happy hour for their deal that includes a bottle of wine. Fox Restaurants are always a high standard.
0,"Our non-smoking floor was smoky. Even found ash on the floor by our door. Seemed like the air system was bringing some smoke in to the room.  We were in the new, Eastern upgraded tower.  We left a day early- which was hard because the rates were great and the rooms were big and comfortable.\n\nEnjoyed the regular buffet- it was tasty with many options. Rosie's service was general very slow and sometimes mediocre as was the Rosie's food.\n\nWe chose this hotel for the Atrium and pool.  The pool was not as warm as we'd like, although it was manageable and a lot of kids were having fun. Kids were NOT allowed in the Jacuzzi and this was a big disappointment for us.\n\nThe arcade was fun, but a little smoky too...."
0,"Ehhh... Kind of expensive for what you get. Burgers are soggy and the fries taste like they are cooked in old oil. Place is kind of dirty and parking is a nightmare.  Nothing special here, especially for the price. $10 lunch for a burger, fries and a drink. Also the dining room is pretty much standing room only for lunch. No thanks."
1,"I don't think I've ever given a club 5 stars because there's always something wrong with it, even if I had a great time there - small dance floor, bad ventilation, bad crowd, bad music...whatever.  However, XS deserves 5 stars and then some! \n\nLOVE IT:\n*Spacious dance areas (with lots of poles...hmm.)\n*Good music (any place that plays trance along with the usual stuff gets bonus points from me!)\n*Eye candy...mMm...\n*Huuuge outdoor area to get fresh air, chill at tables/beds, and even gamble\n\nHATE IT:\n*The ridiculous line - BUT it's not too bad if you're with a group of girls, and it really is worth a slight wait.\n*If you're not careful, you might accidentally step and fall into the pool. Keep your eyes on your feet when you're walking around outside!"
0,"It has taken me awhile to finally post this review (ummm... hi Yelp App people..... you've made a million updates to the app.... why not a post from app update?!?!)\n\n~~~~~~~~~~~~~~~~~~~~~~~\n\nYou know something that really creeps me out about a place?! ...sticky salt shakers...eeeeew! I mean seriously people... Anyways, I digress.\n\nMy friend and I were to be downtown after the R4TC this past Sunday and were looking for a place close enough to the race site to be convenient, yet far enough from it that there would not be a mad rush of other race participants. \n\nWe finished the race later than usual, so we arrived at the Cafe around 10:50.  When we entered to the front door, and there were already two other parties in line ahead of us, so we did the logical thing and got in line behind them.  The line was formed by one door, leaving the other door for people to go in and out of (this will be amusing later on in the review).  We stood at the front, there was no host stand nor a spot that was clearly where parties waited to be sat, so we did the lemming thing and stood where everyone else was. On three occasions people just stood outside staring at the blocked door and looked at the line waiting for the whole line to move instead of using the CLEAR door... ummm.. really people?! And of course on all three occasions they had the nerve to be all huffy at us. HA!\n\nFive minutes go by and no one has come to talk to the mass forming at the door, a little miffed, I keep standing there as my friend goes up to the bar/cashier to ask if there is a wait list or something.  Finally, while she is over there a manager? Comes and asks everyone BUT me if we are on the list... ummm.... What I am under the age of 50 so I don't get attention?... just because I may not be your target clientele doesn't mean I am not a paying customer.  \n\nAnother 10 minutes go by, and after everyone else is sat (including Mr. Huffy Pants that came in after us) we finally get a table.... In the corner, by the office.  Shortly after we are sat someone brings us some water.  And then we wait... and wait... and wait... 10 minutes later someone comes by to ask what we want to drink, we get our coffees and then our server disappears for awhile again.... Now just having done the race and not had anything besides a banana since 6am we were HUNGRY and tired of waiting! \n\nAbout 45 minutes after we had entered, we finally got to place our orders.  We had to flag people down to get coffee refills 3 times because our server was a magician practicing her disappearing act all morning. Actually, I'm not sure why we kept drinking the coffee because it was old and burnt tasting, but hey caffeine is caffeine. We finally got our food.  sigh.  It was lukewarm, dry (in the case of a waffle), and overcooked.  We were too hungry, and too tired to say anything, but its ok because our server never came by to ask how things were or if we needed anything once we got our food.  Only saw her again when it was time to pay. \n\n\nWe do the R4TC every year, and are always looking for an awesome mom n pop to go to eat at afterwards.... gotta say... this one will definitely NOT make the list."
1,"This is one those \""hidden gems\"" of the valley. Since it's not a chain and it's located in central Phoenix (at Central and Missouri), A lot of people don't know about it. But for my money, it's the best Italian food in Phoenix. I first discovered Aiello's a few years back when I worked a few streets away and they catered a lunch. Since then, I've had their food several times, but a couple weeks ago I actually ate inside the restaurant for the first time. The dining room experience was wonderful. It has a very pleasant atmosphere, and almost feels more upscale than the place actually is (a TV above the bar seems a little out of place, but I won't complain about a chance to catch a game while eating). I had their special that night, which was a roasted chicken ravioli in a white sauce. My only complaint was the white sauce was unnecessary, and a traditional tomato sauce would've been fine (but I think more people are fans of white sauce than I am). All of the times I've had food from Aiello's, I've been more than satisfied. Also, If you happen to work or live by the place, I recommend trying their \""backdoor pizzeria.\"" They bake up to 50 18\"" pies a day for carry out only. My coworkers and I bought a few one time, and they were excellent."
0,"They discontinued the Ancho Chili Barbecue Burritos! Bastardos!\n\nIs nothing sacred in this world? Pain... misery... suffering... it never ends.\n\nI find the perfect burrito and then I'm steam rolled by the fact that apparently I was only person in the world eating them.\n\nIt was so good. It made me smile when I was sad. It gave me hope when I was hopeless. And they stole it from me! I replaced it with some other thing... it was so.... average!\n\nI'll never eat another burrito again. I will now suffer in silence along with millions of other burrito victims of this cruel world.\n\nMaybe if I'm real good, and I start performing random acts of kindness then fate will smile and they will return this gem, this masterpiece to the menu. But in all likelihood I'm screwed. I'm like the Schlep-rock of burritos. A cloud follows and constantly rains salsa and sour cream on my head. Until then..... I shall endeavor to persevere."
0,This place is a boot leg of cold stone. Ice cream was good but customer service sucked. To top it off I was the only customer in there.
0,Our server Brooke was awesome and she did the best job she could. The kitchen was super slow and the drinks were mediocre. The place is trendy and the atmosphere was great but the drinks felt like there was no liquor in it and the food was okay. I was sadly disappointed and probably won't return because there are just too many places to go downtown.
0,A Pizza place that DOESNT deliver. false advertisement. enough said
1,The chocolate sorbet was the most exquisite thing I've ever tasted!  It was like a frozen mousse. Very friendly. I love this place.  My second visit in one week!
0,"Run by college students for college students. Which is good if you are a UW student, bad for everyone else. I have seen fellow students get fat sandwiches and extras for no extra cost. While the rest of the world gets a skinny sandwich and crap service.\nI only go here if I have no other choice. I suggest going down the road to University Station and hit the Subway there. Better service and sandwiches."
1,"I had gone on Wednesday 5/14/14 and it was a fun time. I had chosen to go on a Wednesday because it is ladies night ( free admission, free champagne until 12, and half off mixed drinks all night). It definitely has more of a lounge feel to it than anything else but there is a DJ and a decent sized space in front of the booth for dancing. It wasn't super packed but had a good amount of people in there, enough for it not to feel dead. Most people were outside and some were dancing/hanging by the bar. It was definitely a good view and fun to stand on the glass and look down and see nothing underneath you! Definitely worth checking out if you've never been before or looking for more of a low-key yet still very fun night in vegas."
0,Price is legendary people working concession area wish would work like the didn't want you to miss the movie
0,"It's time for a remodel.  We know it, Harrah's knows it, and it seems like they're just trying to tread water here while they figure out what they're going to do, because we all know this isn't sustainable for much longer without it becoming just an actual hovel of white-haired smoke tornados surrounding D-list musical acts.\n\nMaybe it doesn't have to get all world-class on us, maybe it isn't smart to spend the money to try and turn it into Wild Horse Pass or Talking Stick or even the new and improved Vee Quiva, but expanding to give more space, finding a hook that can draw in a better quality of crowd, LOWERING THE DAMN DRINK PRICES and filtering the smoke better might help.  \n\nPeople dont come to Maricopa for nightlife so I cant blame them for not concentrating on giving this casino any manner of nightlife, but damn, it's a boring, old-school place at this point."
1,"This place is awesome! If you read a bad review, especially about the one across the street from a Taco, you are talking & reading about the wrong place.  This Tacos Jalisco (the real one) is on 68th Street, not on Thomas.  The location on Thomas is their original location which they sold, and in the contract had to allow them the right to use the name.  The food is not even close!! So make sure you check out the correct location on 68th.  You will be happy that you did.  The \""free\"" pickled veggie bar is awesome, be sure to grab some of it in a baggie on your way it to accompany your meal. Another great one is the pace across the street next door to TD Road house.  Their Carne Asada is unreal, or the chicken that they grill outside over coal.  a Whole chicken, pint of rice, pint of beans, pint of home made salsa, like 10-12 corn tortillas, $10!"
1,"The staff is always very helpful and really quick... Even if there's a line, it moves swiftly... The prices are what you'd expect, so there are no surprises there... One of the cooler things about this place is they have a table set up right when you walk in where they put things that are either being discontinued or no longer carried by the store...  \n\nThe parking lot is almost always crazy if you go on a Friday or holiday weekend...  Make sure you go in through the back way and park on the side of the store instead of the front... It'll save you all sorts of headaches..."
1,"Excellent food and a great Dormont staple. Open late so that is awesome. Just had their wings for the first time. I have to say, The wings are scrawny, but the sauce is great. So great that it almost completely makes up for the lack of wing size. The gyros are excellent too. Great prices and great food."
0,My first and last time.  Not much flavor in the food.  Fried rice was soggy and hot and sour soup was weak on all accounts
1,"There are no words to describe how appreciative and grateful I am for meeting and receiving my life-changing therapy from Kenta and OneSelf Therapy.  I have a history of neck and back pain from practicing dentistry for the past 9 years.  During these 9 years, I have unsuccessfully gone through various means to relieve my pain which have included seeing two different physical therapists, two different chiropractors, an acupuncturist, weight training to increase the strength in my neck and back, and not to mention numerous massage therapists.  What makes Kenta different from all of the massage therapists out there is his understanding of the anatomy and physiology of the body.  When I indicate an area of pain he will always explain the muscles involved that is causing the pain while he is treating the area.  After the session, he would suggests specific exercises to help with those specific areas.  What is amazing about Kenta is the fact that he is always striving to improve himself.  Every session he brings different methods and treatment which leads to better results than the last session.  One of the most important things that he made me realize was the fact that I should not only get a massage when I am stiff or sore but to maintain a therapeutic schedule thereby preventing the stiffness and soreness from appearing with greater intensity and frequency.  His three appointment therapy sessions spaced out between 11-13 days apart has greatly improved my physical health.  I have also noticed that my asthma has improved after each session due to Kenta's ability to resolve the tightness within my respiratory muscles.  With the three appointment therapeutic sessions, I receive two 90 minute massages and one 120 minute massage for less than $200 and that is including gratuity.  With that being said, not only is he looking out for your physical and mental well-being but he is also providing his services at a reasonable cost.  Finally, there have been times when I needed to see him before my scheduled appointment due to a long day at work and everytime he has been flexible and accommodating to my needs.  I highly recommend Kenta and OneSelf Therapy to anyone who is looking for a massage therapist.  Not only is Kenta my massage therapist but I consider him a close friend now due to my trust and respect that I have for him."
1,"Only been in here once and had a blast. Ended up going for a friends birthday. He had a table and some games set up which I though was so awesome. Our groups kind of thing. We played games most of the night then they had a dj and we started dancing and just watching some people breakdancing. Only fail was when some guy almost started peeing under a table, he was super drunk."
0,"I was excited to try this place and even talked a friend who had never had pho to come along. I read the reviews about the pho and was looking forward to finally finding a place close to me. I got the veggie pho and found it to be rather bland. Although I love cilantro, I was really hoping that this pho would taste llike more than just cilantro broth. I added some lime and chili sauce to the broth which helped a little but it was not as good as the phos I've had at other places. I also tried the papaya salad based on the reviews I had seen. It was very interesting and I've never tasted anything like it. The peanuts and shrimp with the papaya were an interesting combination that I think I can do without. I most likely will not be back."
1,First time at the Dish.. we tried the Parmesan Potato Poppers. They are unbelievably good. So crip outside..and yumm mashed potatoes inside.. a must try!
0,"My daughter enjoys Sushi 101; however, since the kid prefers things basic & flavorless, that's not exactly a glowing endorsement.\n\nThey do have some good appetizers and the yakitori is good (albeit a bit expensive at $2/ea).  Unfortunately, for a place named Sushi 101, their sushi is inconsistent at best.  Generally, if I order sushi here, it is very sloppy, showing inconsistent and uneven knife skills.  The fish is just OK and a lot of the sushi makes up for poor basics by adding flashy ingredients that detract from the dish."
0,"Horrible, horrible, horrible. I don't even want to give them any stars! They lack customer service, even the managers/loss prevention are unprofessional, and the store is always dirty. Walmart has gone downhill and it shows. The fact that I have to have my receipt checked at the door speaks volumes about the kind of crowd this place attracts. Never coming back."
1,"Parking for echo canyon pretty much sucks. They have blocked off a lot of the places you used to be able to park so it's kind of a hike to get to the trail, but I just try to look at it like it's a good warm up and cool down:) It's a pretty good exercise trail.  The only reason I gave it a 4 was because it's super crowded which can be annoying."
1,"Quick service, great food, clean restaurant."
1,My first time here! Loved it. Will definitely come back :) Also loved that they had a deal on groupon
0,"I was all excited about coming out of my yelp coma to review Daniel Boulud (how do you pronounce this name???) and I was SAD to see that this restaurant actually has 4 stars on yelp!\n\nI was really hoping to tack my name onto some really spiteful reviews about how OVERRATED this place is, how their service can only be described as ATROCIOUS, and how on earth did they get a michelin star???\n\nWell I guess I'm among a minority, but my party of 7 and I had a truly horrible service experience: 1) We had an 8:30 reservation and we were still forced to wait for a table; 2) We didn't have a waiter come to our table for a solid 40 minutes.  I kid you not; 3) A woman whose only job seemed to be going table to table telling people they were out of duck came over to us before we even saw a waiter; 4) We had to flag over rando servers to get our wine, food, etc\n\nThe only redemption came at the end of the meal when our jager bombs came out to drink away the pain of the horrible service.  Oh yeah, and the dancing frog show by the water fall."
0,"This is short and sweet about the service at City Bar in Aria. I'll have preface this by saying that Aria is one of my absolute favorite casinos in Las Vegas because it's modern, doesn't smell like cigarette smoke, and has great options for gambling, eating, and drinking. I truly do love this place.\n\nOur group wanted to drink here at City Bar. However, we decided at the last minute or rather within a minute of sitting down to go somewhere else. Mind you the waitress didn't even approach us yet. As our group is getting up, the waitress is walking over and we tell her that we decided to go somewhere else. Her response, \""Oh good!\"" And she walked back to where her co-worker was standing to continue her chit-chatting.\n\nWe were caught off guard by this because normally the waitress will be more polite. To say it out loud for potential customers to hear is uncalled for. It's not like we ordered a bunch of drinks and changed our mind. We literally walked in, sat down, and then got up. For her to respond in such a rude manner was uncalled for.\n\nAfter we left the bar, others in my group had heard what she said so we agreed to just go somewhere else for drinks and gambling. Some wanted to gamble and drink at Aria, but after that, we were just fine leaving. I, for one, do not appreciate service like that and I'm glad we didn't stay there for drinks considering the  surprisingly rude response we received. I don't mind giving this place another try, but there are other places I'd rather go to first."
1,We have used Kenny's Lawn Service for the past couple of years and have found them dependable and reasonably priced.  They have done a great job for us and have been very helpful regarding different types of questions we have for our plants and general yard management.  The owner is very pleasant and nice to deal with.  I would highly recommend Kenny's Lawn Service.
0,"Who doesn't want to spend more money for a Five Guys quality burger?\n\nThe atmosphere is sort of surfer, Hawaiian burger shoppe, that's kinda douchey, but also kind of works.  The burgers are ok, but nothing special.  The real surprise is the price, which is quite a bit higher than a Five Guys competitor.\n\nTwo adult burgers, one kids meal, two orders of fries = $26?  give me a break!  The price, unfortunately, makes BT's a less than good value option for dinner or lunch.\n\nYou're better off spending $20 for similar quality and larger quantity at Five Guys or Smash Burger."
1,"I've been wanting to go here for a while but just never have.  At 67 degrees, everyone was remarking what a fab day it was.  So off to have an early dinner since they close at 530.  It's very serene & also quiet with only 2 tables of customers at 4pm.  The food is pretty good for what you'd expect, bar food @ a golf course.  The menu's simple.  We tried the philly cheese steak with a side of fruit, frits & fries (chix finger w BBQ & ranch sce), and a salmon salad.   They have breakfast, too as well as a full bar."
1,"I love this restaurant. It can sometimes be difficult to find solid mexican food, but this place nails it, bringing dishes from various regions in mexico, but mostly central and southern. \nThe salsa bar is fun, it is great to find a dish you like and experiment with new salsas.\nThe negative of the place is also its charm, but it is small and usually very busy, so expect a 10-15 minute wait. \nMy favorites are the burritos, with a grapefruit margarita."
0,"Most of the food is pretty decent, but not worth making a special trip for. Unfortunately, the service has never been good. It takes forever and always feels like they are completely understaffed. The mac and cheese is great though, and the live music on the patio is ncie. You're better off just going here for drinks."
0,"I would like to warn before anyone renting vehicle from this place. I took a car which had front bumper damage. When I touched them I realized that it was just mud with water giving an impression of scratches. But when I returned the car, I realized that few of the car scratches were indeed scratches and I was forced to shell out $298 at the time of return apart from renting charges. On top of that I was sent another bill of $236, which included 75 as remainder payment, $50 as Administrative fees and $110 for Loss of use fees. So in a nutshell $534 for a minor scratche. I feel duped and won't rent car ever from Enterprise. Be careful of all minor and major scratches, whenever you rent a vehicle from this particualr unit. Worst thing is that I didn't agree to the claim report. One of the \""so called damage\"" really looked 2-3 months old as that dent had rusted. One top of that I was forced to accept the report created by the Unit manager, which I refused. This was my 8th rental of Enterprise and I found it fishy that the Sales Rep didn't try to sell me into insurance. I should have had guessed something a miss. Be careful when you rent from this unit of enterprise.\n\nWhen I returned the car, I rented another car, and they were out of car once again."
1,Love the crepes and the people!
1,"I personally like this deli, it's in a convenient place (close to home) I love their meat selections and the dry sausage is excellent... I haven't had very many of their pastries except for one, which I am not sure what it's called... it is in the shape of a triangle with filling is of either cream cheese or fruit filling... they are YUM!! They people have always been very courteous and informative. Thank you!"
1,WONDERFUL and unique experience. A hidden gem downtown. \n\nYou have to text the number - ask the bouncer's at Commonwealth. Get a reservation. And show up on time. You will be lead into a secret beautiful intimate bar - which used to be the laundry room of the El Cortez.  \n\nThe vibe is mellow. The ambience chic. The decorations are one of a kind and vintage. \nDrinks are made to order. No beer and wine.  \n\nThe managers and bartender paid serious attention to detail. Which means a lot in my book. No frat boys or beer pong here. \n\nHighly recommend on your next Vegas trip.
1,"Just had an epic meal at skinnyfats!! The place is super chill and the staff is helpful and friendly. I had a great Benedict burger The only reason I was able to eat the whole thing was because it was so damn delicious.  My mom got the smoke 'n a bowl which is indescribably delicious. My pops got the \""Dang Quesadilla\"" which was so good that my mom claimed ownership of it halfway through our meal. Oh and speaking of moms, no meal would be complete with out a hot mame (edemame is sweet chilli sauce) Thanks guys!!"
